,Jour,c_qu,l_qu,prop_0-14,prop_15-29,prop_30-44,prop_45-59,prop_60-74,prop_75+,nombre_0-14,nombre_15-29,nombre_30-44,nombre_45-59,nombre_60-74,nombre_75+,pop,densite,nombretransport,numquartier,ref,nb_logmt_total,nombre_de_commerce,nombreent,CA 1,nombretrottotal
0,Samedi,20,Sorbonne,11.4,29.2,17.3,16.9,15.5,9.5,6735.0,17195.0,10190.0,9966.0,9148.0,5615.0,58849.0,24817,4,20,27.14062500000001,250,20,302,1708256.3509933774,322
1,Samedi,19,Val-de-Grâce,11.4,29.2,17.3,16.9,15.5,9.5,6735.0,17195.0,10190.0,9966.0,9148.0,5615.0,58849.0,24817,1,19,27.140625000000004,449,23,281,1717349.2882562275,273
2,Samedi,17,Saint-Victor,11.4,29.2,17.3,16.9,15.5,9.5,6735.0,17195.0,10190.0,9966.0,9148.0,5615.0,58849.0,24817,3,17,27.14062500000001,139,33,302,1207623.9105960266,238
3,Samedi,18,Jardin-des-Plantes,11.4,29.2,17.3,16.9,15.5,9.5,6735.0,17195.0,10190.0,9966.0,9148.0,5615.0,58849.0,24817,2,18,25.165625,421,15,200,1957967.055,320
4,Samedi,33,Saint-Georges,14.0,25.0,25.4,17.8,11.8,6.0,8367.0,14887.0,15117.0,10598.0,7031.0,3556.0,59556.0,26888,4,33,25.243749999999995,752,42,848,7647412.0,223
5,Samedi,34,Chaussée-d'Antin,14.0,25.0,25.4,17.8,11.8,6.0,8367.0,14887.0,15117.0,10598.0,7031.0,3556.0,59556.0,26888,10,34,28.23125000000001,339,11,1379,6862653.575054388,163
6,Samedi,35,Faubourg-Montmartre,14.0,25.0,25.4,17.8,11.8,6.0,8367.0,14887.0,15117.0,10598.0,7031.0,3556.0,59556.0,26888,5,35,25.243749999999995,420,28,1000,4301674.651000001,165
7,Samedi,36,Rochechouart,14.0,25.0,25.4,17.8,11.8,6.0,8367.0,14887.0,15117.0,10598.0,7031.0,3556.0,59556.0,26888,0,36,25.24375,386,36,507,8037271.942800789,198
8,Samedi,3,Palais-Royal,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,4,3,28.23125,137,9,559,3363643.7137745973,259
9,Samedi,4,Place-Vendôme,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,1,4,28.23125000000001,12,15,603,10484956.938640133,239
10,Samedi,2,Halles,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,5,2,25.24374999999999,445,25,732,3652209.62568306,135
11,Samedi,1,Saint-Germain-l'Auxerrois,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,5,1,28.23125000000001,215,4,99,78741306.04040404,107
12,Samedi,32,Europe,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,12,32,27.590625,415,35,1867,7232969.075522227,492
13,Samedi,29,Champs-Elysées,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,8,29,28.231250000000006,14,5,1230,12751576.749593494,316
14,Samedi,31,Madeleine,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,6,31,28.23125000000001,51,24,2296,9846318.880226482,300
15,Samedi,30,Faubourg-du-Roule,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,2,30,28.23125000000001,353,16,2510,6788415.453386454,347
16,Samedi,44,Sainte-Marguerite,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,6,44,25.165624999999995,1605,68,673,1595500.778603269,348
17,Samedi,42,Saint-Ambroise,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,4,42,25.165624999999995,1188,44,518,1452410.4285714286,238
18,Samedi,41,Folie-Méricourt,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,7,41,23.978125,887,31,590,1621806.8423728812,223
19,Samedi,43,Roquette,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,3,43,23.97812499999999,1905,84,702,2161754.9928774927,473
20,Samedi,54,Parc-de-Montsouris,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,3,54,23.978125,1622,7,154,11955361.850649353,176
21,Samedi,53,Montparnasse,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,7,53,25.243749999999995,775,43,352,1270338.2528409092,262
22,Samedi,55,Petit-Montrouge,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,6,55,25.165625,1659,40,409,1640830.1124694378,242
23,Samedi,56,Plaisance,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,5,56,24.468750000000004,3681,72,472,5972834.934322034,441
24,Samedi,57,Saint-Lambert,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,9,57,24.5125,5827,62,808,51494285.37128713,316
25,Samedi,59,Grenelle,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,8,59,25.43124999999999,1116,51,640,11661519.5265625,467
26,Samedi,58,Necker,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,10,58,26.5375,1251,30,611,6405689.387888707,279
27,Samedi,60,Javel,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,12,60,25.43124999999999,2838,35,651,58411653.7265745,445
28,Samedi,6,Vivienne,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,2,6,27.140625,19,20,544,5537765.6819852935,227
29,Samedi,5,Gaillon,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,2,5,28.23125,5,5,600,6018874.388333334,180
30,Samedi,7,Mail,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,0,7,27.140625000000004,323,17,505,6105698.835643563,124
31,Samedi,8,Bonne-Nouvelle,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,2,8,27.140625,175,26,504,1708492.2678571432,38
32,Samedi,10,Enfants-Rouges,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,5,10,27.140625,282,28,249,1422401.7951807228,235
33,Samedi,9,Arts-et-Métiers,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,6,9,27.140625,339,21,396,154506241.0151515,49
34,Samedi,11,Archives,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,1,11,27.140625,343,16,294,3023433.0170068033,202
35,Samedi,12,Sainte-Avoie,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,0,12,27.140625000000004,232,16,240,4027418.841666667,76
36,Samedi,24,Saint-Germain-des-Prés,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,2,24,28.23125000000001,104,10,197,2189393.4162436547,177
37,Samedi,21,Monnaie,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,3,21,28.23125,45,30,240,1790548.870833333,103
38,Samedi,22,Odéon,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,1,22,28.231250000000006,55,29,242,1716875.1818181819,256
39,Samedi,23,Notre-Dame-des-Champs,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,8,23,30.190624999999994,489,47,577,2037689.8700173309,552
40,Samedi,37,Saint-Vincent-de-Paul,14.9,23.5,26.7,18.5,11.4,4.9,13476.0,21260.0,24147.0,16749.0,10341.0,4400.0,90373.0,323888,14,37,25.24375,1305,30,525,1868491.5847619048,167
41,Samedi,38,Porte-Saint-Denis,14.9,23.5,26.7,18.5,11.4,4.9,13476.0,21260.0,24147.0,16749.0,10341.0,4400.0,90373.0,323888,5,38,25.243749999999995,666,46,685,5970502.064233578,46
42,Samedi,39,Porte-Saint-Martin,14.9,23.5,26.7,18.5,11.4,4.9,13476.0,21260.0,24147.0,16749.0,10341.0,4400.0,90373.0,323888,3,39,23.978124999999995,967,51,493,2292410.5598377283,74
43,Samedi,40,Hôpital-Saint-Louis,14.9,23.5,26.7,18.5,11.4,4.9,13476.0,21260.0,24147.0,16749.0,10341.0,4400.0,90373.0,323888,4,40,23.978125,1423,20,341,2058294.0762463345,206
44,Samedi,45,Bel-Air,13.4,22.7,22.4,18.5,14.3,8.7,18783.0,31882.0,31399.0,25955.0,20035.0,12241.0,140295.0,8686,7,45,22.700000000000006,3582,20,321,2945113.0560747664,336
45,Samedi,48,Quinze-Vingts,13.4,22.7,22.4,18.5,14.3,8.7,18783.0,31882.0,31399.0,25955.0,20035.0,12241.0,140295.0,8686,8,48,23.978125,1856,81,682,5529266.945747799,464
46,Samedi,47,Bercy,13.4,22.7,22.4,18.5,14.3,8.7,18783.0,31882.0,31399.0,25955.0,20035.0,12241.0,140295.0,8686,5,47,22.7,921,9,160,13582874.9125,352
47,Samedi,46,Picpus,13.4,22.7,22.4,18.5,14.3,8.7,18783.0,31882.0,31399.0,25955.0,20035.0,12241.0,140295.0,8686,13,46,23.084375000000005,3360,56,616,1684234.3685064937,734
48,Samedi,66,Plaine de Monceaux,14.3,23.9,23.1,17.9,13.5,7.3,23963.0,39931.0,38669.0,29978.0,22582.0,12166.0,167289.0,29166,5,66,26.5375,2809,41,1023,4716073.723362659,221
49,Samedi,67,Batignolles,14.3,23.9,23.1,17.9,13.5,7.3,23963.0,39931.0,38669.0,29978.0,22582.0,12166.0,167289.0,29166,2,67,25.165625,2140,47,602,3507552.7707641195,248
50,Samedi,68,Epinettes,14.3,23.9,23.1,17.9,13.5,7.3,23963.0,39931.0,38669.0,29978.0,22582.0,12166.0,167289.0,29166,6,68,23.978125,2622,39,461,2372095.1843817793,101
51,Samedi,65,Ternes,14.3,23.9,23.1,17.9,13.5,7.3,23963.0,39931.0,38669.0,29978.0,22582.0,12166.0,167289.0,29166,7,65,26.5375,1166,39,1160,5796541.059482759,316
52,Samedi,51,Maison-Blanche,13.7,23.7,20.3,19.0,15.2,8.1,24939.0,43233.0,36897.0,34577.0,27739.0,14714.0,182099.0,24896,11,51,24.46875,3740,37,540,4660832.687037037,421
53,Samedi,52,Croulebarbe,13.7,23.7,20.3,19.0,15.2,8.1,24939.0,43233.0,36897.0,34577.0,27739.0,14714.0,182099.0,24896,1,52,25.24374999999999,774,13,160,2026566.61875,230
54,Samedi,49,Salpêtrière,13.7,23.7,20.3,19.0,15.2,8.1,24939.0,43233.0,36897.0,34577.0,27739.0,14714.0,182099.0,24896,9,49,25.165624999999995,951,20,250,43127456.372,236
55,Samedi,50,Gare,13.7,23.7,20.3,19.0,15.2,8.1,24939.0,43233.0,36897.0,34577.0,27739.0,14714.0,182099.0,24896,8,50,20.703125000000004,9110,43,582,12048830.70274914,774
56,Samedi,27,Ecole-Militaire,12.1,23.6,17.3,18.2,17.3,11.5,6235.0,12118.0,8863.0,9374.0,8870.0,5907.0,51367.0,13936,3,27,30.190625,132,9,186,735492.0053763441,290
57,Samedi,26,Invalides,12.1,23.6,17.3,18.2,17.3,11.5,6235.0,12118.0,8863.0,9374.0,8870.0,5907.0,51367.0,13936,6,26,30.190624999999994,366,11,207,6252943.797101448,223
58,Samedi,28,Gros-Caillou,12.1,23.6,17.3,18.2,17.3,11.5,6235.0,12118.0,8863.0,9374.0,8870.0,5907.0,51367.0,13936,2,28,30.190625,81,40,639,5784372.295774647,476
59,Samedi,25,Saint-Thomas-d'Aquin,12.1,23.6,17.3,18.2,17.3,11.5,6235.0,12118.0,8863.0,9374.0,8870.0,5907.0,51367.0,13936,5,25,30.190625,168,15,400,4298275.4225,215
60,Samedi,61,Auteuil,14.6,20.8,17.1,19.7,16.3,11.5,24303.0,34645.0,28427.0,32763.0,27135.0,19089.0,166362.0,9714,11,61,25.431249999999995,3784,30,892,3719390.9058295963,395
61,Samedi,62,Muette,14.6,20.8,17.1,19.7,16.3,11.5,24303.0,34645.0,28427.0,32763.0,27135.0,19089.0,166362.0,9714,5,62,27.590625,296,39,783,4361367.56449553,366
62,Samedi,64,Chaillot,14.6,20.8,17.1,19.7,16.3,11.5,24303.0,34645.0,28427.0,32763.0,27135.0,19089.0,166362.0,9714,5,64,27.590625000000006,95,17,1501,52072974.52165223,429
63,Samedi,63,Porte-Dauphine,14.6,20.8,17.1,19.7,16.3,11.5,24303.0,34645.0,28427.0,32763.0,27135.0,19089.0,166362.0,9714,6,63,27.590625000000006,446,11,652,2743025.107361963,358
64,Samedi,79,Père-Lachaise,15.1,20.9,23.1,20.0,14.4,6.5,29521.0,40850.0,45270.0,39188.0,28195.0,12790.0,195814.0,32494,5,79,22.7,2781,45,432,761890.9513888889,159
65,Samedi,78,Saint-Fargeau,15.1,20.9,23.1,20.0,14.4,6.5,29521.0,40850.0,45270.0,39188.0,28195.0,12790.0,195814.0,32494,8,78,20.703125,2721,20,200,849005.09,57
66,Samedi,80,Charonne,15.1,20.9,23.1,20.0,14.4,6.5,29521.0,40850.0,45270.0,39188.0,28195.0,12790.0,195814.0,32494,8,80,20.703125000000004,5553,22,415,1267117.881927711,241
67,Samedi,77,Belleville,15.1,20.9,23.1,20.0,14.4,6.5,29521.0,40850.0,45270.0,39188.0,28195.0,12790.0,195814.0,32494,3,77,23.978125,1542,29,390,439980.84615384607,91
68,Samedi,72,La Chapelle,14.0,23.5,26.5,18.0,12.2,5.8,27256.0,45901.0,51653.0,35232.0,23842.0,11348.0,195232.0,31701,4,72,20.703125,1498,24,176,3315015.6534090913,47
69,Samedi,69,Grandes-Carrières,14.0,23.5,26.5,18.0,12.2,5.8,27256.0,45901.0,51653.0,35232.0,23842.0,11348.0,195232.0,31701,9,69,23.084375,1734,55,735,1371430.7931972789,245
70,Samedi,70,Clignancourt,14.0,23.5,26.5,18.0,12.2,5.8,27256.0,45901.0,51653.0,35232.0,23842.0,11348.0,195232.0,31701,11,70,23.084375,2560,61,708,1279727.663841808,386
71,Samedi,71,Goutte-d'Or,14.0,23.5,26.5,18.0,12.2,5.8,27256.0,45901.0,51653.0,35232.0,23842.0,11348.0,195232.0,31701,1,71,23.978125,3562,17,182,960061.8076923076,159
72,Samedi,74,Pont-de-Flandre,17.0,21.9,21.7,19.2,13.7,6.5,31775.0,40876.0,40560.0,35876.0,25713.0,12214.0,187014.0,27274,8,74,20.703125000000004,3318,12,243,14321279.399176955,68
73,Samedi,76,Combat,17.0,21.9,21.7,19.2,13.7,6.5,31775.0,40876.0,40560.0,35876.0,25713.0,12214.0,187014.0,27274,3,76,22.7,1026,26,280,1087702.175,170
74,Samedi,75,Amérique,17.0,21.9,21.7,19.2,13.7,6.5,31775.0,40876.0,40560.0,35876.0,25713.0,12214.0,187014.0,27274,11,75,20.703125,4347,15,354,4692823.169491527,211
75,Samedi,73,Villette,17.0,21.9,21.7,19.2,13.7,6.5,31775.0,40876.0,40560.0,35876.0,25713.0,12214.0,187014.0,27274,7,73,20.703125000000004,2680,30,296,3440797.9662162163,80
76,Samedi,13,Saint-Merri,11.4,24.5,21.6,19.3,15.3,7.8,3195.0,6895.0,6057.0,5433.0,4308.0,2200.0,28088.0,17838,6,13,28.23125000000001,290,16,285,2016378.7157894738,150
77,Samedi,16,Notre-Dame,11.4,24.5,21.6,19.3,15.3,7.8,3195.0,6895.0,6057.0,5433.0,4308.0,2200.0,28088.0,17838,1,16,28.231250000000006,25,5,82,1089989.5243902442,4
78,Samedi,14,Saint-Gervais,11.4,24.5,21.6,19.3,15.3,7.8,3195.0,6895.0,6057.0,5433.0,4308.0,2200.0,28088.0,17838,2,14,27.140625,683,40,222,1122918.6486486488,300
