,c_qu,l_qu,c_ar,l_ar,prop_30-44,prop_45-59,prop_60-74,prop_75+,nombre_0-1,nombre_15-,nombre_30-,nombre_45-,nombre_60-,nombre_75+,pop,densite,nombretran,field_1,numquartier,ref,nb_logmt_total,nombre_de_commerce,id_quartier,nombreent,CA 1
0,20,Sorbonne,5,5ème Ardt,"17,3","16,9","15,5","9,5",6 735,17 195,10 190,9 966,9 148,5 615,6 73517 19510 1909 9669 1485 615,24817,1,19,20,27.140624999999996,250,20,20,302,1708256.3509933774
1,19,Val-de-Grâce,5,5ème Ardt,"17,3","16,9","15,5","9,5",6 735,17 195,10 190,9 966,9 148,5 615,6 73517 19510 1909 9669 1485 615,24817,1,18,19,27.140625000000004,449,23,19,281,1717349.2882562277
2,17,Saint-Victor,5,5ème Ardt,"17,3","16,9","15,5","9,5",6 735,17 195,10 190,9 966,9 148,5 615,6 73517 19510 1909 9669 1485 615,24817,1,16,17,27.140625000000004,139,33,17,302,1207623.9105960266
3,18,Jardin-des-Plantes,5,5ème Ardt,"17,3","16,9","15,5","9,5",6 735,17 195,10 190,9 966,9 148,5 615,6 73517 19510 1909 9669 1485 615,24817,1,17,18,25.165625,421,15,18,200,1957967.055
4,33,Saint-Georges,9,9ème Ardt,"25,4","17,8","11,8","6,0",8 367,14 887,15 117,10 598,7 031,3 556,8 36714 88715 11710 5987 0313 556,26888,1,32,33,25.24375,752,41,33,848,7647412.0
5,34,Chaussée-d'Antin,9,9ème Ardt,"25,4","17,8","11,8","6,0",8 367,14 887,15 117,10 598,7 031,3 556,8 36714 88715 11710 5987 0313 556,26888,1,33,34,28.231250000000003,339,10,34,1379,6862653.575054388
6,35,Faubourg-Montmartre,9,9ème Ardt,"25,4","17,8","11,8","6,0",8 367,14 887,15 117,10 598,7 031,3 556,8 36714 88715 11710 5987 0313 556,26888,1,34,35,25.243749999999995,420,28,35,1000,4301674.651
7,36,Rochechouart,9,9ème Ardt,"25,4","17,8","11,8","6,0",8 367,14 887,15 117,10 598,7 031,3 556,8 36714 88715 11710 5987 0313 556,26888,1,35,36,25.243750000000006,386,36,36,507,8037271.942800789
8,3,Palais-Royal,1,1er Ardt,"22,7","20,3","14,9","8,1",1 915,3 592,3 700,3 307,2 429,1 322,1 9153 5923 7003 3072 4291 322,9863,1,2,3,28.231250000000006,137,9,3,559,3363643.7137745973
9,4,Place-Vendôme,1,1er Ardt,"22,7","20,3","14,9","8,1",1 915,3 592,3 700,3 307,2 429,1 322,1 9153 5923 7003 3072 4291 322,9863,1,3,4,28.231250000000003,12,15,4,603,10484956.938640133
10,2,Halles,1,1er Ardt,"22,7","20,3","14,9","8,1",1 915,3 592,3 700,3 307,2 429,1 322,1 9153 5923 7003 3072 4291 322,9863,1,1,2,25.243750000000002,445,25,2,732,3652209.62568306
11,1,Saint-Germain-l'Auxerrois,1,1er Ardt,"22,7","20,3","14,9","8,1",1 915,3 592,3 700,3 307,2 429,1 322,1 9153 5923 7003 3072 4291 322,9863,1,0,1,28.231250000000003,215,4,1,99,78741306.04040404
12,32,Europe,8,8ème Ardt,"20,2","18,7","14,8","7,6",5 567,8 734,7 424,6 867,5 433,2 782,5 5678 7347 4246 8675 4332 782,10147,1,31,32,27.590625,415,35,32,1867,7232969.075522228
13,29,Champs-Elysées,8,8ème Ardt,"20,2","18,7","14,8","7,6",5 567,8 734,7 424,6 867,5 433,2 782,5 5678 7347 4246 8675 4332 782,10147,1,28,29,28.231250000000006,14,5,29,1230,12751576.749593496
14,31,Madeleine,8,8ème Ardt,"20,2","18,7","14,8","7,6",5 567,8 734,7 424,6 867,5 433,2 782,5 5678 7347 4246 8675 4332 782,10147,1,30,31,28.231250000000006,51,23,31,2296,9846318.880226482
15,30,Faubourg-du-Roule,8,8ème Ardt,"20,2","18,7","14,8","7,6",5 567,8 734,7 424,6 867,5 433,2 782,5 5678 7347 4246 8675 4332 782,10147,1,29,30,28.231250000000003,353,16,30,2510,6788415.453386454
16,44,Sainte-Marguerite,11,11ème Ardt,"25,4","17,8","13,6","6,5",17 528,36 257,37 319,26 153,19 910,9 476,17 52836 25737 31926 15319 9109 476,41341,1,43,44,25.165625000000002,1605,68,44,673,1595500.778603269
17,42,Saint-Ambroise,11,11ème Ardt,"25,4","17,8","13,6","6,5",17 528,36 257,37 319,26 153,19 910,9 476,17 52836 25737 31926 15319 9109 476,41341,1,41,42,25.165625,1188,43,42,518,1452410.4285714286
18,41,Folie-Méricourt,11,11ème Ardt,"25,4","17,8","13,6","6,5",17 528,36 257,37 319,26 153,19 910,9 476,17 52836 25737 31926 15319 9109 476,41341,1,40,41,23.978124999999995,887,31,41,590,1621806.8423728812
19,43,Roquette,11,11ème Ardt,"25,4","17,8","13,6","6,5",17 528,36 257,37 319,26 153,19 910,9 476,17 52836 25737 31926 15319 9109 476,41341,1,42,43,23.978125,1905,84,43,702,2161754.9928774927
20,54,Parc-de-Montsouris,14,14ème Ardt,"19,9","17,2","15,1","8,9",17 125,35 790,27 094,23 338,20 548,12 068,17 12535 79027 09423 33820 54812 068,23684,1,53,54,23.978125,1622,7,54,154,11955361.850649351
21,53,Montparnasse,14,14ème Ardt,"19,9","17,2","15,1","8,9",17 125,35 790,27 094,23 338,20 548,12 068,17 12535 79027 09423 33820 54812 068,23684,1,52,53,25.243749999999995,775,42,53,352,1270338.2528409092
22,55,Petit-Montrouge,14,14ème Ardt,"19,9","17,2","15,1","8,9",17 125,35 790,27 094,23 338,20 548,12 068,17 12535 79027 09423 33820 54812 068,23684,1,54,55,25.165625,1659,40,55,409,1640830.1124694378
23,56,Plaisance,14,14ème Ardt,"19,9","17,2","15,1","8,9",17 125,35 790,27 094,23 338,20 548,12 068,17 12535 79027 09423 33820 54812 068,23684,1,55,56,24.468749999999996,3681,72,56,472,5972834.934322034
24,57,Saint-Lambert,15,15ème Ardt,"21,4","17,6","14,3","8,9",31 728,56 578,49 991,40 968,33 276,20 851,31 72856 57849 99140 96833 27620 851,27201,1,56,57,24.512499999999996,5827,62,57,808,51494285.37128713
25,59,Grenelle,15,15ème Ardt,"21,4","17,6","14,3","8,9",31 728,56 578,49 991,40 968,33 276,20 851,31 72856 57849 99140 96833 27620 851,27201,1,58,59,25.431249999999995,1116,51,59,640,11661519.5265625
26,58,Necker,15,15ème Ardt,"21,4","17,6","14,3","8,9",31 728,56 578,49 991,40 968,33 276,20 851,31 72856 57849 99140 96833 27620 851,27201,1,57,58,26.537499999999998,1251,30,58,611,6405689.387888707
27,60,Javel,15,15ème Ardt,"21,4","17,6","14,3","8,9",31 728,56 578,49 991,40 968,33 276,20 851,31 72856 57849 99140 96833 27620 851,27201,1,59,60,25.431249999999995,2838,35,60,651,58411653.7265745
28,6,Vivienne,2,2ème Ardt,"27,3","19,8","10,6","4,1",2 510,5 475,5 705,4 147,2 209,854,2 5105 4755 7054 1472 209854,21872,1,5,6,27.140625000000004,19,20,6,544,5537765.681985294
29,5,Gaillon,2,2ème Ardt,"27,3","19,8","10,6","4,1",2 510,5 475,5 705,4 147,2 209,854,2 5105 4755 7054 1472 209854,21872,1,4,5,28.231250000000006,5,5,5,600,6018874.388333334
30,7,Mail,2,2ème Ardt,"27,3","19,8","10,6","4,1",2 510,5 475,5 705,4 147,2 209,854,2 5105 4755 7054 1472 209854,21872,1,6,7,27.140625000000007,323,17,7,505,6105698.835643564
31,8,Bonne-Nouvelle,2,2ème Ardt,"27,3","19,8","10,6","4,1",2 510,5 475,5 705,4 147,2 209,854,2 5105 4755 7054 1472 209854,21872,1,7,8,27.140625,175,26,8,504,1708492.267857143
32,10,Enfants-Rouges,3,3ème Ardt,"25,2","19,2","12,5","5,8",3 894,8 836,8 589,6 535,4 269,1 993,3 8948 8368 5896 5354 2691 993,29638,1,9,10,27.140624999999996,282,27,10,249,1422401.7951807228
33,9,Arts-et-Métiers,3,3ème Ardt,"25,2","19,2","12,5","5,8",3 894,8 836,8 589,6 535,4 269,1 993,3 8948 8368 5896 5354 2691 993,29638,1,8,9,27.140625,339,21,9,396,154506241.0151515
34,11,Archives,3,3ème Ardt,"25,2","19,2","12,5","5,8",3 894,8 836,8 589,6 535,4 269,1 993,3 8948 8368 5896 5354 2691 993,29638,1,10,11,27.140625,343,16,11,294,3023433.017006803
35,12,Sainte-Avoie,3,3ème Ardt,"25,2","19,2","12,5","5,8",3 894,8 836,8 589,6 535,4 269,1 993,3 8948 8368 5896 5354 2691 993,29638,1,11,12,27.140625000000004,232,16,12,240,4027418.841666667
36,24,Saint-Germain-des-Prés,6,6ème Ardt,"16,4","16,9","17,3","11,5",4 198,11 343,6 752,6 958,7 103,4 745,4 19811 3436 7526 9587 1034 745,21062,1,23,24,28.231250000000006,104,10,24,197,2189393.4162436547
37,21,Monnaie,6,6ème Ardt,"16,4","16,9","17,3","11,5",4 198,11 343,6 752,6 958,7 103,4 745,4 19811 3436 7526 9587 1034 745,21062,1,20,21,28.231250000000003,45,30,21,240,1790548.8708333333
38,22,Odéon,6,6ème Ardt,"16,4","16,9","17,3","11,5",4 198,11 343,6 752,6 958,7 103,4 745,4 19811 3436 7526 9587 1034 745,21062,1,21,22,28.231250000000003,55,29,22,242,1716875.1818181819
39,23,Notre-Dame-des-Champs,6,6ème Ardt,"16,4","16,9","17,3","11,5",4 198,11 343,6 752,6 958,7 103,4 745,4 19811 3436 7526 9587 1034 745,21062,1,22,23,30.190625,489,47,23,577,2037689.870017331
40,37,Saint-Vincent-de-Paul,10,10ème Ardt,"26,7","18,5","11,4","4,9",13 476,21 260,24 147,16 749,10 341,4 400,13 47621 26024 14716 74910 3414 400,323888,1,36,37,25.24375,1305,30,37,525,1868491.5847619048
41,38,Porte-Saint-Denis,10,10ème Ardt,"26,7","18,5","11,4","4,9",13 476,21 260,24 147,16 749,10 341,4 400,13 47621 26024 14716 74910 3414 400,323888,1,37,38,25.24375,666,45,38,685,5970502.064233577
42,39,Porte-Saint-Martin,10,10ème Ardt,"26,7","18,5","11,4","4,9",13 476,21 260,24 147,16 749,10 341,4 400,13 47621 26024 14716 74910 3414 400,323888,1,38,39,23.978125,967,51,39,493,2292410.5598377283
43,40,Hôpital-Saint-Louis,10,10ème Ardt,"26,7","18,5","11,4","4,9",13 476,21 260,24 147,16 749,10 341,4 400,13 47621 26024 14716 74910 3414 400,323888,1,39,40,23.978125,1423,20,40,341,2058294.0762463342
44,45,Bel-Air,12,12ème Ardt,"22,4","18,5","14,3","8,7",18 783,31 882,31 399,25 955,20 035,12 241,18 78331 88231 39925 95520 03512 241,8686,1,44,45,22.7,3582,20,45,321,2945113.0560747664
45,48,Quinze-Vingts,12,12ème Ardt,"22,4","18,5","14,3","8,7",18 783,31 882,31 399,25 955,20 035,12 241,18 78331 88231 39925 95520 03512 241,8686,1,47,48,23.978125,1856,80,48,682,5529266.9457478
46,47,Bercy,12,12ème Ardt,"22,4","18,5","14,3","8,7",18 783,31 882,31 399,25 955,20 035,12 241,18 78331 88231 39925 95520 03512 241,8686,1,46,47,22.7,921,9,47,160,13582874.9125
47,46,Picpus,12,12ème Ardt,"22,4","18,5","14,3","8,7",18 783,31 882,31 399,25 955,20 035,12 241,18 78331 88231 39925 95520 03512 241,8686,1,45,46,23.084375,3360,56,46,616,1684234.3685064935
48,66,Plaine de Monceaux,17,17ème Ardt,"23,1","17,9","13,5","7,3",23 963,39 931,38 669,29 978,22 582,12 166,23 96339 93138 66929 97822 58212 166,29166,1,65,66,26.5375,2809,40,66,1023,4716073.723362659
49,67,Batignolles,17,17ème Ardt,"23,1","17,9","13,5","7,3",23 963,39 931,38 669,29 978,22 582,12 166,23 96339 93138 66929 97822 58212 166,29166,1,66,67,25.165625000000002,2140,47,67,602,3507552.7707641195
50,68,Epinettes,17,17ème Ardt,"23,1","17,9","13,5","7,3",23 963,39 931,38 669,29 978,22 582,12 166,23 96339 93138 66929 97822 58212 166,29166,1,67,68,23.978124999999995,2622,39,68,461,2372095.184381779
51,65,Ternes,17,17ème Ardt,"23,1","17,9","13,5","7,3",23 963,39 931,38 669,29 978,22 582,12 166,23 96339 93138 66929 97822 58212 166,29166,1,64,65,26.5375,1166,39,65,1160,5796541.059482759
52,51,Maison-Blanche,13,13ème Ardt,"20,3","19,0","15,2","8,1",24 939,43 233,36 897,34 577,27 739,14 714,24 93943 23336 89734 57727 73914 714,24896,1,50,51,24.46875,3740,37,51,540,4660832.687037037
53,52,Croulebarbe,13,13ème Ardt,"20,3","19,0","15,2","8,1",24 939,43 233,36 897,34 577,27 739,14 714,24 93943 23336 89734 57727 73914 714,24896,1,51,52,25.243749999999995,774,13,52,160,2026566.61875
54,49,Salpêtrière,13,13ème Ardt,"20,3","19,0","15,2","8,1",24 939,43 233,36 897,34 577,27 739,14 714,24 93943 23336 89734 57727 73914 714,24896,1,48,49,25.165624999999995,951,20,49,250,43127456.372
55,50,Gare,13,13ème Ardt,"20,3","19,0","15,2","8,1",24 939,43 233,36 897,34 577,27 739,14 714,24 93943 23336 89734 57727 73914 714,24896,1,49,50,20.703125,9110,43,50,582,12048830.70274914
56,27,Ecole-Militaire,7,7ème Ardt,"17,3","18,2","17,3","11,5",6 235,12 118,8 863,9 374,8 870,5 907,6 23512 1188 8639 3748 8705 907,13936,1,26,27,30.190624999999997,132,9,27,186,735492.0053763441
57,26,Invalides,7,7ème Ardt,"17,3","18,2","17,3","11,5",6 235,12 118,8 863,9 374,8 870,5 907,6 23512 1188 8639 3748 8705 907,13936,1,25,26,30.190625000000004,366,11,26,207,6252943.797101449
58,28,Gros-Caillou,7,7ème Ardt,"17,3","18,2","17,3","11,5",6 235,12 118,8 863,9 374,8 870,5 907,6 23512 1188 8639 3748 8705 907,13936,1,27,28,30.190625000000004,81,40,28,639,5784372.295774648
59,25,Saint-Thomas-d'Aquin,7,7ème Ardt,"17,3","18,2","17,3","11,5",6 235,12 118,8 863,9 374,8 870,5 907,6 23512 1188 8639 3748 8705 907,13936,1,24,25,30.190624999999994,168,15,25,400,4298275.4225
60,61,Auteuil,16,16ème Ardt,"17,1","19,7","16,3","11,5",24 303,34 645,28 427,32 763,27 135,19 089,24 30334 64528 42732 76327 13519 089,9714,1,60,61,25.431250000000006,3784,30,61,892,3719390.9058295963
61,62,Muette,16,16ème Ardt,"17,1","19,7","16,3","11,5",24 303,34 645,28 427,32 763,27 135,19 089,24 30334 64528 42732 76327 13519 089,9714,1,61,62,27.590625000000003,296,39,62,783,4361367.56449553
62,64,Chaillot,16,16ème Ardt,"17,1","19,7","16,3","11,5",24 303,34 645,28 427,32 763,27 135,19 089,24 30334 64528 42732 76327 13519 089,9714,1,63,64,27.590625000000003,95,17,64,1501,52072974.52165223
63,63,Porte-Dauphine,16,16ème Ardt,"17,1","19,7","16,3","11,5",24 303,34 645,28 427,32 763,27 135,19 089,24 30334 64528 42732 76327 13519 089,9714,1,62,63,27.590625000000003,446,11,63,652,2743025.107361963
64,79,Père-Lachaise,20,20ème Ardt,"23,1","20,0","14,4","6,5",29 521,40 850,45 270,39 188,28 195,12 790,29 52140 85045 27039 18828 19512 790,32494,1,78,79,22.700000000000003,2781,47,79,432,761890.9513888889
65,78,Saint-Fargeau,20,20ème Ardt,"23,1","20,0","14,4","6,5",29 521,40 850,45 270,39 188,28 195,12 790,29 52140 85045 27039 18828 19512 790,32494,1,77,78,20.703124999999996,2721,20,78,200,849005.09
66,80,Charonne,20,20ème Ardt,"23,1","20,0","14,4","6,5",29 521,40 850,45 270,39 188,28 195,12 790,29 52140 85045 27039 18828 19512 790,32494,1,79,80,20.703125,5553,22,80,415,1267117.881927711
67,77,Belleville,20,20ème Ardt,"23,1","20,0","14,4","6,5",29 521,40 850,45 270,39 188,28 195,12 790,29 52140 85045 27039 18828 19512 790,32494,1,76,77,23.978125,1542,29,77,390,439980.8461538461
68,72,La Chapelle,18,18ème Ardt,"26,5","18,0","12,2","5,8",27 256,45 901,51 653,35 232,23 842,11 348,27 25645 90151 65335 23223 84211 348,31701,1,71,72,20.703125,1498,24,72,176,3315015.653409091
69,69,Grandes-Carrières,18,18ème Ardt,"26,5","18,0","12,2","5,8",27 256,45 901,51 653,35 232,23 842,11 348,27 25645 90151 65335 23223 84211 348,31701,1,68,69,23.084375,1734,55,69,735,1371430.7931972789
70,70,Clignancourt,18,18ème Ardt,"26,5","18,0","12,2","5,8",27 256,45 901,51 653,35 232,23 842,11 348,27 25645 90151 65335 23223 84211 348,31701,1,69,70,23.084375000000005,2560,61,70,708,1279727.663841808
71,71,Goutte-d'Or,18,18ème Ardt,"26,5","18,0","12,2","5,8",27 256,45 901,51 653,35 232,23 842,11 348,27 25645 90151 65335 23223 84211 348,31701,1,70,71,23.978125,3562,17,71,182,960061.8076923077
72,74,Pont-de-Flandre,19,19ème Ardt,"21,7","19,2","13,7","6,5",31 775,40 876,40 560,35 876,25 713,12 214,31 77540 87640 56035 87625 71312 214,27274,1,73,74,20.703125,3318,12,74,243,14321279.399176955
73,76,Combat,19,19ème Ardt,"21,7","19,2","13,7","6,5",31 775,40 876,40 560,35 876,25 713,12 214,31 77540 87640 56035 87625 71312 214,27274,1,75,76,22.700000000000006,1026,26,76,280,1087702.175
74,75,Amérique,19,19ème Ardt,"21,7","19,2","13,7","6,5",31 775,40 876,40 560,35 876,25 713,12 214,31 77540 87640 56035 87625 71312 214,27274,1,74,75,20.703125,4347,15,75,354,4692823.169491526
75,73,Villette,19,19ème Ardt,"21,7","19,2","13,7","6,5",31 775,40 876,40 560,35 876,25 713,12 214,31 77540 87640 56035 87625 71312 214,27274,1,72,73,20.703124999999996,2680,30,73,296,3440797.9662162163
76,13,Saint-Merri,4,4ème Ardt,"21,6","19,3","15,3","7,8",3 195,6 895,6 057,5 433,4 308,2 200,3 1956 8956 0575 4334 3082 200,17838,1,12,13,28.231250000000006,290,16,13,285,2016378.7157894736
77,16,Notre-Dame,4,4ème Ardt,"21,6","19,3","15,3","7,8",3 195,6 895,6 057,5 433,4 308,2 200,3 1956 8956 0575 4334 3082 200,17838,1,15,16,28.231250000000006,25,5,16,82,1089989.524390244
78,14,Saint-Gervais,4,4ème Ardt,"21,6","19,3","15,3","7,8",3 195,6 895,6 057,5 433,4 308,2 200,3 1956 8956 0575 4334 3082 200,17838,1,13,14,27.140625000000004,683,40,14,222,1122918.6486486488
79,15,Arsenal,4,4ème Ardt,"21,6","19,3","15,3","7,8",3 195,6 895,6 057,5 433,4 308,2 200,3 1956 8956 0575 4334 3082 200,17838,1,14,15,28.231250000000006,399,17,15,270,1703270.4555555556
